Country,ISO3,Region,CPI score 2020,Rank 2020,CPI score 2019,Rank 2019,CPI score 2016,Rank 2016,Employment_ratio-2016,Employment_ratio-2019,GDP_per_capita-2016,GDP_per_capita-2019,HDI_index-2016,HDI_index-2019,Women_in_parliament_(%)-2016,Women_in_parliament_(%)-2019
Turkmenistan,TKM,ECA,19,165,19,165,22.0,154.0,62.122,61.959,13562.526,14845.329,0.699,0.715,25.806,25.0
Burundi,BDI,SSA,19,165,19,165,20.0,159.0,77.666,78.024,794.605,751.664,0.438,0.433,37.805,38.75
Congo,COG,SSA,19,165,19,165,20.0,159.0,62.895,62.87,3603.23,3298.068,0.578,0.574,11.538,13.636
Guinea Bissau,GNB,SSA,19,165,18,168,16.0,168.0,70.059,70.19,1864.26,1989.367,0.468,0.48,13.725,13.725
Afghanistan,AFG,AP,19,165,16,173,15.0,169.0,43.028,43.456,2200.764,2202.278,0.502,0.511,27.445,27.244
Democratic Republic of the Congo,COD,SSA,18,170,18,168,21.0,156.0,61.076,60.774,1055.573,1097.949,0.471,0.48,8.167,11.987
Haiti,HTI,AME,18,170,18,168,20.0,159.0,57.396,57.926,1766.11,1728.91,0.5,0.51,0.1,2.74
"Korea, North",PRK,AP,18,170,17,172,12.0,174.0,78.143,78.167,,,,,16.303,17.613
Libya,LBY,MENA,17,173,18,168,14.0,170.0,40.306,40.463,10592.424,15174.165,0.687,0.724,15.957,15.957
Sudan,SDN,SSA,16,174,16,173,14.0,170.0,40.191,40.43,4284.811,3958.468,0.507,0.51,31.042,27.536
Equatorial Guinea,GNQ,SSA,16,174,16,173,,,57.953,57.981,24827.073,18558.004,0.588,0.592,19.653,19.186
Venezuela,VEN,AME,15,176,16,173,17.0,166.0,57.369,54.473,,,0.759,0.711,14.371,22.156
Yemen,YEM,MENA,15,176,15,177,14.0,170.0,32.534,33.094,,,0.474,0.47,0.518,0.971
Syria,SYR,MENA,14,178,13,178,13.0,173.0,40.216,40.422,,,0.528,0.567,13.2,13.2
South Sudan,SSD,SSA,12,179,12,179,11.0,175.0,63.476,63.523,,,0.421,0.433,26.559,26.559
Somalia,SOM,SSA,12,179,9,180,10.0,176.0,41.72,42.018,,,,,,24.316
